Mito Starvation Assays,,,,Number of Flies That Died ,,,,,,,,,,,,,
,,,,Day 1: 6/28/21,,Day 2: 6/29/21,,Day 3: 6/30/21,,Day 4: 7/1/21,,Day 5: 7/2/21,,Day 6: 7/3/21,,,
,,,,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,CENSORED 9AM,,
mito,nuc,sex,rep,0hr,12hr,24hr,36hr,48hr,60hr,72hr ,84hr,96hr,108hr,120hr,132hr,144hr,156hr
OreR,w1118,Female,1,1,1,1,1,8,10,28,25,13,8,1,,,
OreR,w1118,Female,2,0,0,0,1,3,7,11,25,25,17,4,1,,
OreR,w1118,Female,3,0,0,0,1,3,14,18,34,19,11,4,1,,
OreR,w1118,Male,1,0,0,2,5,11,57,12,14,,,,,,
OreR,w1118,Male,2,0,1,0,1,4,38,33,9,4,,,,,
OreR,w1118,Male,3,0,0,0,3,18,41,23,16,1,,,,,
Sm21,w1118,Female,1,3,0,0,1,9,19,16,23,10,7,0,1,,
Sm21,w1118,Female,2,2,0,0,3,6,26,22,21,11,3,,,,
Sm21,w1118,Female,3,2,0,0,4,10,26,21,23,5,5,,,,
Sm21,w1118,Male,1,1,3,2,3,18,57,16,,,,,,,
Sm21,w1118,Male,2,1,0,1,7,38,53,,,,,,,,
Sm21,w1118,Male,3,0,0,2,6,14,63,7,,,,,,,
Yak,w1118,Female,1,0,1,1,8,6,14,12,17,20,11,5,3,,
Yak,w1118,Female,2,0,0,1,6,11,19,17,21,13,7,3,1,,
Yak,w1118,Female,3,0,1,1,9,8,13,21,19,17,10,0,2,,
Yak,w1118,Male,1,1,0,0,8,10,47,20,11,1,,,,,
Yak,w1118,Male,2,0,0,0,12,18,30,34,6,,,,,,
Yak,w1118,Male,3,0,0,0,7,13,51,19,8,2,,,,,
Zim53,w1118,Female,1,4,0,1,4,15,33,26,8,9,2,,,,
Zim53,w1118,Female,2,0,1,0,11,14,36,21,14,,,,,,
Zim53,w1118,Female,3,5,1,3,3,19,8,3,4,7,,,,,
Zim53,w1118,Male,1,0,1,2,8,23,58,6,,,,,,,
Zim53,w1118,Male,2,1,0,1,8,14,50,11,7,,,,,,
Zim53,w1118,Male,3,2,0,0,3,18,50,20,3,,,,,,
SiI,8469,Female,1,0,0,0,0,0,0,11,41,21,12,7,4,1,
SiI,8469,Female,2,0,0,0,0,1,1,32,22,20,11,0,4,,
SiI,8469,Female,3,0,0,0,1,14,11,7,2,3,1,,,,
SiI,8469,Male,1,3,0,1,0,25,47,19,4,,,,,,
SiI,8469,Male,2,0,0,0,5,31,44,18,2,,,,,,
SiI,8469,Male,3,0,0,0,0,0,8,7,,,,,,,
OreR,8469,Female,1,3,0,0,0,1,9,7,12,20,13,16,12,13,1
OreR,8469,Female,2,0,0,0,0,3,5,16,11,25,16,13,5,2,
OreR,8469,Female,3,0,0,0,1,1,5,24,17,20,14,10,6,1,1
OreR,8469,Male,1,1,0,0,0,14,32,19,3,1,,,,,
OreR,8469,Male,2,1,0,0,5,8,18,34,18,11,,,,,
OreR,8469,Male,3,1,0,3,7,25,29,22,10,1,,,,,
Sm21,8469,Female,1,2,0,0,0,0,0,1,7,22,21,37,7,4,
Sm21,8469,Female,2,0,0,0,0,0,1,1,4,21,32,26,8,3,
Sm21,8469,Female,3,1,0,1,0,0,1,3,13,14,20,8,5,4,
Sm21,8469,Male,1,4,1,0,3,12,19,38,6,1,,,,,
Sm21,8469,Male,2,0,1,0,1,15,39,33,3,1,1,,,,
Sm21,8469,Male,3,1,0,1,1,10,25,1,,,,,,,
Yak,8469,Female,1,0,1,0,0,0,5,5,19,14,23,14,7,5,4
Yak,8469,Female,2,1,0,0,0,0,2,8,15,20,29,6,15,5,
Yak,8469,Female,3,1,0,0,0,0,2,7,19,28,20,15,6,3,
Yak,8469,Male,1,2,0,0,2,19,36,29,7,1,,,,,
Yak,8469,Male,2,4,0,0,1,10,20,41,12,10,,,,,
Yak,8469,Male,3,1,0,1,0,9,26,35,22,1,,,,,
Zim53,8469,Female,1,2,1,0,2,2,10,31,11,5,4,,,,
Zim53,8469,Female,2,0,0,0,0,9,13,20,8,8,2,1,,,
Zim53,8469,Female,3,1,0,1,1,3,2,14,29,15,12,2,5,2,
Zim53,8469,Male,1,2,0,0,0,14,3,4,,,,,,,
Zim53,8469,Male,2,1,0,0,3,7,8,11,3,,,,,,
Zim53,8469,Male,3,0,0,0,0,20,16,8,8,,,,,,
Zim53,8469,Female,4,3,0,0,0,1,3,7,14,19,15,7,1,,
Zim53,8469,Male,4,0,0,0,0,19,16,16,7,,,,,,
OreR,7744,Female,1,1,0,3,5,17,17,29,14,5,4,2,2,,
OreR,7744,Female,2,0,0,0,2,10,28,32,11,7,2,1,,,
OreR,7744,Female,3,2,0,0,5,13,27,29,13,8,,1,,,
OreR,7744,Male,1,1,0,1,1,2,10,14,,,,,,,
OreR,7744,Male,2,0,0,0,2,20,22,37,12,,,,,,
