mito,geno,sex,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
sm21,1491,f,10,1,sm21_1491_f_10__1,34,84,2.0262,-0.8003,0.9824,0,0.0551
sm21,1491,f,10,1,sm21_1491_f_10__2,50,100,2.1747,-3,0.977,0,0.0678
sm21,1491,f,10,1,sm21_1491_f_10__3,14,64,0.9328,38.5523,0.9152,0,0.0587
sm21,1491,f,10,1,sm21_1491_f_10__4,11,61,0.9563,28.2727,0.9754,0,0.0309
sm21,1491,f,10,1,sm21_1491_f_10__5,65,115,1.2987,-0.7808,0.9659,0,0.0497
sm21,1491,f,10,1,sm21_1491_f_10__6,36,86,0.7049,21.8378,0.8741,0,0.056
sm21,1491,f,10,1,sm21_1491_f_10__all,30,80,1.1365,28.9361,0.9927,0,0.0197
sm21,1491,f,10,2,sm21_1491_f_10__1,5,55,1.6048,34.4242,0.975,0,0.0522
sm21,1491,f,10,2,sm21_1491_f_10__2,2,52,1.5742,43.4881,0.9838,0,0.041
sm21,1491,f,10,2,sm21_1491_f_10__3,30,80,0.6407,39.1279,0.8677,0,0.0524
sm21,1491,f,10,2,sm21_1491_f_10__4,0,50,0.9583,30.1671,0.8858,0,0.0717
sm21,1491,f,10,2,sm21_1491_f_10__5,22,72,1.8697,32.3257,0.9882,0,0.0414
sm21,1491,f,10,2,sm21_1491_f_10__6,0,50,0.3685,51.973,0.7058,0,0.0528
sm21,1491,f,10,2,sm21_1491_f_10__all,26,76,1.2632,39.0205,0.9907,0,0.0248
sm21,1491,f,10,3,sm21_1491_f_10__1,71,121,1.8913,6.9697,0.9903,0,0.0379
sm21,1491,f,10,3,sm21_1491_f_10__2,15,65,1.9287,42.5606,0.9841,0,0.0498
sm21,1491,f,10,3,sm21_1491_f_10__3,2,52,1.1965,81.6914,0.9181,0,0.0738
sm21,1491,f,10,3,sm21_1491_f_10__4,79,129,1.1589,13.4112,0.9331,0,0.0638
sm21,1491,f,10,3,sm21_1491_f_10__5,58,108,2.0046,-1.5573,0.9858,0,0.0488
sm21,1491,f,10,3,sm21_1491_f_10__6,14,64,0.9634,45.2594,0.9476,0,0.0464
sm21,1491,f,10,3,sm21_1491_f_10__all,20,70,1.2087,54.697,0.9924,0,0.0215
sm21,1491,f,10,4,sm21_1491_f_10__1,27,77,1.9856,6.8282,0.9915,0,0.0371
sm21,1491,f,10,4,sm21_1491_f_10__2,32,82,2.0536,29.4356,0.9882,0,0.0454
sm21,1491,f,10,4,sm21_1491_f_10__3,6,56,1.1069,44.1635,0.9358,0,0.0596
sm21,1491,f,10,4,sm21_1491_f_10__4,81,131,0.4688,45.8839,0.8348,0,0.0442
sm21,1491,f,10,4,sm21_1491_f_10__5,39,89,2.0046,39.0268,0.9838,0,0.0521
sm21,1491,f,10,4,sm21_1491_f_10__6,0,50,1.4575,44.0843,0.9546,0,0.065
