mito,geno,sex,chromo,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Zim,8906,f,Cy,7,1,Zim_8906_f_Cy_7__1,27,77,1.9635,17.1975,0.9942,0,0.0162
Zim,8906,f,Cy,7,1,Zim_8906_f_Cy_7__2,45,95,2.2278,24.3281,0.9865,0,0.0281
Zim,8906,f,Cy,7,1,Zim_8906_f_Cy_7__3,24,74,2.0806,23.9995,0.994,0,0.0173
Zim,8906,f,Cy,7,1,Zim_8906_f_Cy_7__4,42,92,3.3097,-11.5188,0.9923,0,0.0314
Zim,8906,f,Cy,7,1,Zim_8906_f_Cy_7__5,34,84,3.656,-7.1514,0.9938,0,0.0312
Zim,8906,f,Cy,7,1,Zim_8906_f_Cy_7__6,24,74,2.2568,4.8229,0.9898,0,0.0247
Zim,8906,f,Cy,7,1,Zim_8906_f_Cy_7__all,44,94,2.755,2.667,0.998,0,0.0133
Zim,8906,f,Cy,7,2,Zim_8906_f_Cy_7__1,53,103,2.2534,-4.0043,0.9899,0,0.0246
Zim,8906,f,Cy,7,2,Zim_8906_f_Cy_7__2,22,72,1.773,24.8377,0.9855,0,0.0232
Zim,8906,f,Cy,7,2,Zim_8906_f_Cy_7__3,69,119,2.3786,6.2857,0.9794,0,0.0372
Zim,8906,f,Cy,7,2,Zim_8906_f_Cy_7__4,29,79,2.9266,1.7912,0.9945,0,0.0233
Zim,8906,f,Cy,7,2,Zim_8906_f_Cy_7__5,53,103,3.1325,-25.8225,0.9937,0,0.0268
Zim,8906,f,Cy,7,2,Zim_8906_f_Cy_7__6,76,126,2.6267,-26.836,0.9898,0,0.0288
Zim,8906,f,Cy,7,2,Zim_8906_f_Cy_7__all,53,103,2.3806,1.8521,0.9973,0,0.0133
Zim,8906,f,Cy,7,3,Zim_8906_f_Cy_7__1,26,76,2.6423,8.2327,0.9903,0,0.0281
Zim,8906,f,Cy,7,3,Zim_8906_f_Cy_7__2,0,50,1.6003,33.9084,0.9819,0,0.0235
Zim,8906,f,Cy,7,3,Zim_8906_f_Cy_7__3,92,142,2.5352,30.1957,0.9988,0,0.0095
Zim,8906,f,Cy,7,3,Zim_8906_f_Cy_7__4,27,77,3.1097,6.7097,0.9942,0,0.0256
Zim,8906,f,Cy,7,3,Zim_8906_f_Cy_7__5,81,131,1.9548,41.8912,0.9954,0,0.0143
Zim,8906,f,Cy,7,3,Zim_8906_f_Cy_7__6,77,127,2.462,-0.6197,0.9924,0,0.0232
Zim,8906,f,Cy,7,3,Zim_8906_f_Cy_7__all,74,124,2.2539,26.7766,0.9986,0,0.0092
Zim,8906,f,Df,7,1,Zim_8906_f_Df_7__1,72,122,2.9458,-17.9417,0.9926,0,0.0274
Zim,8906,f,Df,7,1,Zim_8906_f_Df_7__2,53,103,2.3774,14.6797,0.9859,0,0.0306
Zim,8906,f,Df,7,1,Zim_8906_f_Df_7__3,46,96,2.8132,3.6053,0.9909,0,0.029
Zim,8906,f,Df,7,1,Zim_8906_f_Df_7__4,62,112,2.7593,1.3028,0.9898,0,0.0302
Zim,8906,f,Df,7,1,Zim_8906_f_Df_7__5,87,137,3.1144,-32.2633,0.9886,0,0.036
Zim,8906,f,Df,7,1,Zim_8906_f_Df_7__6,42,92,2.9266,3.3346,0.9828,0,0.0418
Zim,8906,f,Df,7,1,Zim_8906_f_Df_7__all,79,129,2.1438,27.5652,0.9979,0,0.0105
Zim,8906,f,Df,7,2,Zim_8906_f_Df_7__1,62,112,2.4669,-3.1503,0.9856,0,0.0322
Zim,8906,f,Df,7,2,Zim_8906_f_Df_7__2,52,102,2.2462,1.2658,0.9787,0,0.0358
