fly,X,Y,mito,nuc,sex
0,460,-0.066063348,w1118,1491,m
1,344,0.16199095,w1118,1491,m
2,385,0.85158371,w1118,1491,m
3,432,0.856108597,w1118,1491,m
4,202,0.34841629,w1118,1491,m
5,299,0.91040724,w1118,1491,m
6,409,0.924886878,w1118,1491,m
7,210,0.846153846,w1118,1491,m
8,414,0.828054299,w1118,1491,m
9,397,0.905882353,w1118,1491,m
10,394,0.890497738,w1118,1491,m
11,388,0.891402715,w1118,1491,m
12,303,0.971040724,w1118,1491,m
13,379,0.933936652,w1118,1491,m
14,164,0.980995475,w1118,1491,m
15,134,0.904072398,w1118,1491,m
16,331,0.952036199,w1118,1491,m
17,157,0.313122172,w1118,1491,m
18,400,0.742081448,w1118,1491,m
19,331,0.826244344,w1118,1491,m
20,241,0.924886878,w1118,1491,m
21,439,0.783710407,w1118,1491,m
22,296,0.742081448,w1118,1491,m
23,328,0.807239819,w1118,1491,m
24,46,0.850678733,w1118,1491,m
25,42,0.808144796,w1118,1491,m
26,69,0.783710407,w1118,1491,m
27,302,0.909502262,w1118,1491,m
28,43,0.957466063,w1118,1491,m
29,351,0.852488688,w1118,1491,m
30,288,0.933031674,w1118,1491,m
31,41,-0.043438914,w1118,1491,m
32,230,0.877828054,w1118,1491,m
33,311,0.961085973,w1118,1491,m
34,298,0.749321267,w1118,1491,m
35,433,0.76561086,w1118,1491,m
36,295,0.833484163,w1118,1491,m
37,417,0.771040724,w1118,1491,m
38,105,0.922171946,w1118,1491,m
39,192,0.925791855,w1118,1491,m
40,402,0.934841629,w1118,1491,m
41,378,0.951131222,w1118,1491,m
42,73,0.955656109,w1118,1491,m
43,164,0.909502262,w1118,1491,m
44,33,0.941176471,w1118,1491,m
45,264,0.850678733,w1118,1491,m
46,68,0.959276018,w1118,1491,m
47,397,0.913122172,w1118,1491,m
48,185,0.969230769,w1118,1491,m
49,352,0.481447964,w1118,1491,m
50,170,0.722171946,w1118,1491,m
51,223,0.866968326,w1118,1491,m
52,89,0.913122172,w1118,1491,m
53,185,0.611764706,w1118,1491,m
54,79,0.964705882,w1118,1491,m
55,175,0.572850679,w1118,1491,m
56,118,0.635294118,w1118,1491,m
57,306,0.781900452,w1118,1491,m
58,39,0.854298643,w1118,1491,m
59,220,0.921266968,w1118,1491,m
60,406,0.913122172,w1118,1491,m
61,40,0.995475113,w1118,1491,m
62,105,0.986425339,w1118,1491,m
63,438,0.995475113,w1118,1491,m
64,454,0.991855204,w1118,1491,m
65,133,1,w1118,1491,m
0,459,-0.066063348,yak,7837,m
1,269,0.001809955,yak,7837,m
2,240,-0.019909502,yak,7837,m
3,234,-0.026244344,yak,7837,m
4,225,-0.039819005,yak,7837,m
5,181,0.101357466,yak,7837,m
6,188,0.07239819,yak,7837,m
7,263,0.168325792,yak,7837,m
8,75,0.057013575,yak,7837,m
9,343,0.117647059,yak,7837,m
10,222,0.001809955,yak,7837,m
11,63,0.078733032,yak,7837,m
12,356,0.030769231,yak,7837,m
13,217,0.228054299,yak,7837,m
14,297,0.867873303,yak,7837,m
15,199,0.230769231,yak,7837,m
16,321,0.431674208,yak,7837,m
17,381,0.690497738,yak,7837,m
18,311,0.828054299,yak,7837,m
19,313,0.788235294,yak,7837,m
20,273,0.512217195,yak,7837,m
21,269,0.858823529,yak,7837,m
22,239,0.157466063,yak,7837,m
23,116,0.283257919,yak,7837,m
24,168,0.546606335,yak,7837,m
25,355,0.465158371,yak,7837,m
26,420,0.752036199,yak,7837,m
27,321,0.476923077,yak,7837,m
28,402,0.661538462,yak,7837,m
29,49,0.726696833,yak,7837,m
30,356,0.734841629,yak,7837,m
31,124,0.809954751,yak,7837,m
32,126,0.746606335,yak,7837,m
33,126,0.799095023,yak,7837,m
34,357,0.79638009,yak,7837,m
35,258,0.819909502,yak,7837,m
36,387,0.943891403,yak,7837,m
37,20,-0.065158371,yak,7837,m
38,259,0.538461538,yak,7837,m
39,124,0.804524887,yak,7837,m
40,351,0.82081448,yak,7837,m
41,397,0.837104072,yak,7837,m
42,65,0.39638009,yak,7837,m
43,357,0.457013575,yak,7837,m
44,169,0.793665158,yak,7837,m
45,296,0.826244344,yak,7837,m
46,378,0.734841629,yak,7837,m
47,192,0.909502262,yak,7837,m
48,213,0.601809955,yak,7837,m
49,37,0.736651584,yak,7837,m
50,114,0.303167421,yak,7837,m
51,197,0.495022624,yak,7837,m
52,336,0.673303167,yak,7837,m
53,158,0.438914027,yak,7837,m
54,82,0.590950226,yak,7837,m
55,282,0.714027149,yak,7837,m
56,267,0.728506787,yak,7837,m
57,72,0.621719457,yak,7837,m
58,236,0.445248869,yak,7837,m
59,141,0.438914027,yak,7837,m
60,374,0.791855204,yak,7837,m
61,385,0.639819005,yak,7837,m
62,183,0.793665158,yak,7837,m
63,287,0.840723982,yak,7837,m
64,192,0.854298643,yak,7837,m
65,225,0.528506787,yak,7837,m
66,218,0.604524887,yak,7837,m
67,100,0.682352941,yak,7837,m
68,137,0.877828054,yak,7837,m
69,342,0.888687783,yak,7837,m
70,47,0.703167421,yak,7837,m
71,38,0.500452489,yak,7837,m
72,89,0.542986425,yak,7837,m
73,216,0.722171946,yak,7837,m
74,227,0.742986425,yak,7837,m
75,242,0.747511312,yak,7837,m
76,316,0.861538462,yak,7837,m
77,92,0.772850679,yak,7837,m
78,199,0.528506787,yak,7837,m
79,118,0.555656109,yak,7837,m
80,171,0.70678733,yak,7837,m
81,254,0.63800905,yak,7837,m
82,86,0.793665158,yak,7837,m
83,64,0.602714932,yak,7837,m
84,235,0.700452489,yak,7837,m
85,258,0.866968326,yak,7837,m
86,39,0.995475113,yak,7837,m
87,435,0.994570136,yak,7837,m
88,453,0.991855204,yak,7837,m
0,462,-0.069683258,w1118,4959,f
1,400,0.92760181,w1118,4959,f
2,397,0.696832579,w1118,4959,f
3,72,0.873303167,w1118,4959,f
4,386,0.721266968,w1118,4959,f
5,316,0.920361991,w1118,4959,f
6,325,0.981900452,w1118,4959,f
7,372,0.846153846,w1118,4959,f
